# Isochrone for LMC metallicity and an age of 100 Myr
# log(Teff[K])   Mbol   BC_I          BC_V
  3.618          7.53   0.808324001  -0.606375836
  3.627          7.38   0.818560566  -0.538504797
  3.637          7.22   0.827875033  -0.463649526
  3.646          7.07   0.83612234   -0.396128705
  3.656          6.92   0.845198986  -0.323432563
  3.665          6.76   0.852138373  -0.263742442
  3.675          6.61   0.860183873  -0.197563042
  3.684          6.45   0.863659745  -0.148216674
  3.695          6.28   0.866971518  -0.0911041455
  3.704          6.13   0.866936546  -0.0509836798
  3.714          5.98   0.864527183  -0.0122679306
  3.724          5.82   0.859798381   0.022184616
  3.734          5.67   0.851397119   0.0498067596
  3.743          5.51   0.842365616   0.0724747932
  3.753          5.34   0.828575431   0.0918573069
  3.762          5.18   0.815089394   0.107834323
  3.771          5.01   0.79849659    0.119663525
  3.779          4.85   0.783413441   0.12983884
  3.787          4.67   0.765426067   0.13685213
  3.795          4.51   0.747489797   0.143929045
  3.802          4.33   0.730181084   0.148693086
  3.811          4.15   0.70773782    0.154655296
  3.819          3.96   0.686573776   0.159320392
  3.828          3.80   0.662256802   0.164036924
  3.836          3.63   0.639748328   0.168293997
  3.845          3.48   0.614117544   0.17269514
  3.854          3.32   0.586744924   0.176484839
  3.868          3.14   0.540726179   0.181136517
  3.883          2.97   0.486297925   0.184222253
  3.897          2.80   0.425320342   0.185565113
  3.91           2.64   0.366919684   0.181317433
  3.923          2.49   0.309469068   0.167437627
  3.927          2.45   0.290893183   0.161560355
  3.95           2.18   0.174298119   0.107119922
  3.971          1.93   0.060914980   0.0372070663
  3.989          1.68  -0.040362669  -0.0349595675
  4.006          1.46  -0.138126508  -0.112360884
  4.018          1.26  -0.207870704  -0.169618774
  4.031          1.07  -0.284031702  -0.234448517
  4.043          0.88  -0.354622823  -0.29542854
  4.055          0.68  -0.425780313  -0.358344178
  4.067          0.49  -0.497301521  -0.422084691
  4.076          0.33  -0.551176612  -0.470440087
  4.085          0.17  -0.605434369  -0.519441364
  4.094          0.02  -0.659927174  -0.568809303
  4.103         -0.14  -0.714836765  -0.618778546
  4.111         -0.30  -0.763779923  -0.66343154
  4.121         -0.49  -0.825009625  -0.719274481
  4.13          -0.68  -0.881098588  -0.770676144
  4.139         -0.87  -0.961112339  -0.849149341
  4.148         -1.07  -1.02445868   -0.909561759
  4.157         -1.27  -1.08923628   -0.970897014
  4.164         -1.49  -1.17190671   -1.05618934
  4.17          -1.69  -1.19901896   -1.07838768
  4.175         -1.86  -1.22156395   -1.0968486
  4.178         -2.04  -1.23502918   -1.10791044
  4.179         -2.23  -1.23926707   -1.11145346
  4.178         -2.42  -1.23424157   -1.10746001
  4.172         -2.64  -1.20665146   -1.08506387
  4.164         -2.79  -1.16632151   -1.05414863
  4.152         -2.95  -1.04677169   -0.934162125
  4.144         -3.10  -0.988345827  -0.879506141
  4.165         -3.20  -1.17038824   -1.05766185
  4.188         -3.28  -1.2752069 -  -1.14225759
  4.2           -3.33  -1.33035282   -1.18677681
  4.178         -3.21  -1.22949458   -1.10533198
  4.175         -3.20  -1.21580008   -1.09427947
  4.149         -3.26  -1.0239819 -  -0.913295736
  4.119         -3.34  -0.801175241  -0.704344572
  4.097         -3.36  -0.664757879  -0.581430862
  4.076         -3.38  -0.537515676  -0.467115163
  4.053         -3.38  -0.402414144  -0.346137946
  4.051         -3.38  -0.390885768  -0.335847901
  4.026         -3.38  -0.249393433  -0.210484765
  3.998         -3.37  -0.096781405  -0.078030137
  3.976         -3.35   0.018559660   0.0188809745
  3.951         -3.33   0.144872996   0.117564058
  3.923         -3.31   0.279378506   0.205076234
  3.891         -3.28   0.418373873   0.259560054
  3.862         -3.24   0.532061885   0.269287628
  3.839         -3.21   0.613133339   0.258165611
  3.813         -3.18   0.702574171   0.226825259
  3.785         -3.14   0.786000486   0.178599015
  3.754         -3.09   0.844461405   0.119461082
  3.728         -3.02   0.87460264    0.0512996407
  3.701         -2.90   0.883982215  -0.0426099851
  3.687         -2.83   0.877333942  -0.105062619
  3.664         -3.02   0.855464511  -0.22735992
  3.653         -3.24   0.841626411  -0.291787045
  3.648         -3.40   0.83105195   -0.330464469
  3.643         -3.57   0.82043269   -0.369278776
  3.636         -3.74   0.804913556  -0.423676383
  3.632         -3.90   0.796063656  -0.455057737
  3.627         -4.07   0.783316012  -0.497356882
  3.626         -4.12   0.780072852  -0.507454657
  3.632         -3.93   0.796139326  -0.45513597
  3.638         -3.78   0.809686096  -0.408330755
  3.646         -3.59   0.827350122  -0.346215032
  3.652         -3.43   0.840180431  -0.299790207
