# Isochrone for LMC metallicity and an age of 1 Gyr
# log(Teff[K])   Mbol   BC_I          BC_V
  3.618          7.52   0.80807254   -0.606503241
  3.628          7.36   0.81962113   -0.530977113
  3.637          7.21   0.82767885   -0.463680704
  3.647          7.05   0.83695607   -0.388588279
  3.657          6.89   0.84581050   -0.316695245
  3.666          6.74   0.85288176   -0.257067626
  3.676          6.58   0.86092079   -0.190808618
  3.686          6.42   0.86424065   -0.137791953
  3.697          6.25   0.86756090   -0.0807025859
  3.706          6.09   0.86641169   -0.0431819965
  3.716          5.93   0.86398474   -0.00448075766
  3.727          5.77   0.85724552    0.030484863
  3.737          5.60   0.84879564    0.0580867524
  3.747          5.44   0.83681184    0.0802227203
  3.755          5.28   0.82574828    0.0957158679
  3.765          5.11   0.80950960    0.111766909
  3.774          4.93   0.79291955    0.12363327
  3.782          4.75   0.77661148    0.132510655
  3.789          4.59   0.76089749    0.138722321
  3.796          4.43   0.74523691    0.145068014
  3.803          4.27   0.72780392    0.149790714
  3.81           4.12   0.7103929     0.154595521
  3.817          3.96   0.69215835    0.15893767
  3.823          3.81   0.67605409    0.162467876
  3.83           3.65   0.65718192    0.166618477
  3.837          3.50   0.63732732    0.170442787
  3.846          3.33   0.61157429    0.175208002
  3.848          3.28   0.6055271     0.176279826
  3.857          3.12   0.57809901    0.180310731
  3.866          2.96   0.54744670    0.1842956
  3.875          2.80   0.51450924    0.188382036
  3.886          2.61   0.47070121    0.192089716
  3.895          2.43   0.43111926    0.19394326
  3.9            2.25   0.40800722    0.195678072
  3.905          2.08   0.38578599    0.195481533
  3.909          1.92   0.36803243    0.193561106
  3.91           1.76   0.36307913    0.19473688
  3.91           1.60   0.36242776    0.197012868
  3.903          1.44   0.39231961    0.207325168
  3.891          1.29   0.43935206    0.215215013
  3.872          1.14   0.51475332    0.216876817
  3.867          1.07   0.53233884    0.216905155
  3.888          0.94   0.45034459    0.221842299
  3.913          0.82   0.34470380    0.202088472
  3.929          0.73   0.27018960    0.174228917
  3.909          0.86   0.36256882    0.206656093
  3.882          0.79   0.47343945    0.224941573
  3.86           0.77   0.55286283    0.221943229
  3.838          0.78   0.64038546    0.20224839
  3.817          0.80   0.70005666    0.186090787
  3.796          0.85   0.75213558    0.165265532
  3.773          0.96   0.79982761    0.134269084
  3.751          1.15   0.83517153    0.0945867295
  3.736          1.30   0.85259924    0.0603598614
  3.723          1.39   0.86274094    0.0249042542
  3.71           1.23   0.86729330   -0.0187091426
  3.705          1.06   0.86862364   -0.036131313
  3.701          0.90   0.86986449   -0.0499900886
  3.698          0.74   0.87037684   -0.0613310462
  3.695          0.58   0.86945523   -0.0748179813
  3.692          0.41   0.86852529   -0.0882302411
  3.687          0.24   0.86647907   -0.110820279
  3.683          0.06   0.86492450   -0.12868725
  3.679         -0.12   0.86349221   -0.146473239
  3.677         -0.27   0.86322209   -0.155124145
  3.672         -0.45   0.85803018   -0.183826149
  3.667         -0.64   0.85240605   -0.212920676
  3.663         -0.80   0.84774493   -0.236174499
  3.659         -0.97   0.84293947   -0.259399115
  3.655         -1.14   0.83820909   -0.282715338
  3.649         -1.33   0.82801104   -0.324992945
  3.645         -1.50   0.82032173   -0.355043508
  3.644         -1.50   0.81817262   -0.36267006
  3.649         -1.35   0.82811131   -0.324940804
  3.653         -1.19   0.83577349   -0.29450176
  3.66          -0.94   0.84419567   -0.253554818
  3.668         -0.66   0.85379412   -0.206905462
  3.688          0.15   0.86730503   -0.105957466
  3.693          0.36   0.86920686   -0.0834872082
  3.699          0.56   0.87153688   -0.0562821837
  3.704          0.75   0.86986911   -0.0389079557
  3.706          0.83   0.86917745   -0.0319843271
  3.707          0.68   0.86946569   -0.0280937664
  3.707          0.51   0.87006664   -0.0276854189
  3.707          0.33   0.87070968   -0.0272484719
  3.705          0.17   0.87165143   -0.0340142362
  3.701          0.00   0.87298700   -0.0479347179
  3.695         -0.17   0.87184279   -0.0730974539
  3.665         -1.23   0.85168091   -0.223164987
  3.67          -1.04   0.85762913   -0.194062105
  3.673         -0.94   0.86113708   -0.176555863
  3.668         -1.10   0.85520559   -0.205763985
  3.663         -1.28   0.84918574   -0.234953524
  3.656         -1.45   0.84067619   -0.276282068
  3.653         -1.61   0.83751243   -0.293695202
  3.648         -1.79   0.82760535   -0.331705663
  3.643         -1.98   0.81756589   -0.369318453
  3.637         -2.15   0.80485756   -0.414597902
  3.63          -2.38   0.78967806   -0.468580386
  3.625         -2.56   0.77519496   -0.515197648
  3.617         -2.79   0.74897138   -0.595380102
  3.607         -3.03   0.71564507   -0.695558632
  3.599         -3.25   0.68382834   -0.784282202
  3.591         -3.45   0.64421067   -0.886224956
  3.582         -3.67   0.60023314   -1.00083237
  3.573         -3.85   0.55240259   -1.12046971
  3.564         -4.03   0.47284236   -1.28082218
  3.555         -4.22   0.39518215   -1.44208463
  3.546         -4.40   0.31930014   -1.60135094
  3.538         -4.58   0.25383494   -1.74142489
  3.529         -4.76   0.05662695   -2.13784252
  3.52          -4.94  -0.18076769   -2.61190329
  3.51          -5.12  -0.46049477   -3.09244918
  3.501         -5.30  -0.71230500   -3.5236877
  3.491         -5.48  -0.94413459   -3.91691886
  3.478         -5.66  -1.15187504   -4.25976043
  3.478         -5.67  -1.15166312   -4.25978585
